Lap Placement,Lap Number,Lap Time
1,37,1:42.741
2,31,1:43.446
3,18,1:44.262
4,41,1:45.12
5,38,1:46.452
6,26,1:47.442
7,23,1:47.706
8,19,1:48.174
9,29,1:48.567
10,17,1:48.603
11,21,1:49.038
12,33,1:49.623
13,14,1:50.088
14,24,1:50.148
15,15,1:51.468
16,10,1:53.217
17,32,1:54.15
18,30,1:55.647
19,13,1:58.176
20,34,1:58.446
21,12,1:58.554
22,4,1:59.16
23,22,2:0.624
24,9,2:0.729
25,5,2:0.738
26,35,2:1.386
27,39,2:3.789
28,28,2:4.629
29,16,2:7.797
30,3,2:8.58
31,40,2:9.165
32,27,2:12.801
33,20,2:12.96
34,25,2:15.696
35,11,2:18.108
36,8,2:18.324
37,2,2:33.399
38,36,2:38.535
39,6,2:49.56
40,7,3:18.819
41,1,3:33.456
