Lap Placement,Lap Number,Lap Time
1,7,1:27.612
2,40,1:27.639
3,37,1:27.639
4,42,1:27.66
5,13,1:27.684
6,38,1:27.714
7,41,1:27.717
8,24,1:27.717
9,10,1:27.741
10,33,1:27.762
11,22,1:27.771
12,4,1:27.777
13,35,1:27.78
14,25,1:27.786
15,2,1:27.792
16,14,1:27.798
17,26,1:27.807
18,36,1:27.828
19,39,1:27.855
20,8,1:27.867
21,30,1:27.882
22,11,1:27.9
23,9,1:27.909
24,34,1:27.915
25,56,1:27.918
26,52,1:27.924
27,27,1:27.924
28,23,1:27.927
29,29,1:27.93
30,3,1:27.933
31,51,1:27.936
32,62,1:27.948
33,6,1:27.951
34,20,1:27.957
35,15,1:27.966
36,48,1:27.975
37,12,1:27.993
38,31,1:28.008
39,47,1:28.011
40,16,1:28.014
41,5,1:28.017
42,28,1:28.017
43,21,1:28.02
44,54,1:28.02
45,46,1:28.038
46,19,1:28.056
47,17,1:28.065
48,45,1:28.092
49,18,1:28.107
50,57,1:28.107
51,58,1:28.152
52,55,1:28.152
53,63,1:28.152
54,44,1:28.158
55,60,1:28.17
56,50,1:28.197
57,49,1:28.197
58,53,1:28.242
59,59,1:28.287
60,61,1:28.347
61,32,1:28.428
62,1,1:28.461
63,43,1:28.503
