Lap Placement,Lap Number,Lap Time
1,52,1:33.42
2,47,1:33.885
3,86,1:34.149
4,51,1:34.191
5,26,1:34.503
6,21,1:34.668
7,34,1:35.058
8,80,1:35.166
9,18,1:35.25
10,60,1:35.316
11,89,1:35.445
12,54,1:35.547
13,67,1:35.727
14,63,1:35.73
15,25,1:35.739
16,59,1:35.961
17,49,1:36.105
18,9,1:36.117
19,19,1:36.189
20,84,1:36.471
21,28,1:36.573
22,87,1:36.606
23,33,1:36.93
24,74,1:37.029
25,76,1:37.041
26,23,1:37.203
27,15,1:37.272
28,24,1:37.524
29,71,1:37.572
30,20,1:37.728
31,5,1:37.866
32,65,1:38.025
33,57,1:38.337
34,79,1:38.745
35,50,1:38.931
36,22,1:39.357
37,7,1:39.375
38,75,1:39.684
39,35,1:39.894
40,58,1:40.131
41,64,1:40.179
42,68,1:40.233
43,37,1:41.103
44,56,1:41.202
45,8,1:41.298
46,82,1:41.625
47,30,1:42.705
48,12,1:44.004
49,1,1:44.289
50,14,1:44.694
51,78,1:44.925
52,36,1:44.964
53,55,1:45.468
54,77,1:45.594
55,46,1:45.801
56,48,1:46.599
57,62,1:46.833
58,13,1:46.986
59,81,1:47.148
60,29,1:47.841
61,11,1:48.048
62,17,1:48.351
63,83,1:48.966
64,43,1:49.272
65,40,1:49.311
66,41,1:50.46
67,3,1:51.066
68,66,1:51.378
69,44,1:51.804
70,31,1:52.182
71,88,1:52.338
72,2,1:52.374
73,45,1:52.377
74,10,1:52.704
75,70,1:53.199
76,85,1:53.931
77,73,1:53.934
78,61,1:54.108
79,32,1:54.996
80,16,1:55.764
81,27,1:56.394
82,69,1:58.179
83,4,2:1.08
84,6,2:2.667
85,42,2:6.759
86,38,2:7.056
87,72,2:20.424
88,39,2:32.844
89,53,3:10.356
